Position_race,Abbreviation,DriverNumber_race,TeamName_race,GridPosition,Year,Round,Circuit_race,Position_quali
20.0,STR,18,Williams,17.0,2018,7,Montréal,17.0
1.0,HAM,44,Mercedes,1.0,2018,8,Le Castellet,1.0
2.0,VER,33,Red Bull Racing,4.0,2018,8,Le Castellet,4.0
3.0,RAI,7,Ferrari,6.0,2018,8,Le Castellet,6.0
4.0,RIC,3,Red Bull Racing,5.0,2018,8,Le Castellet,5.0
5.0,VET,5,Ferrari,3.0,2018,8,Le Castellet,3.0
6.0,MAG,20,Haas F1 Team,9.0,2018,8,Le Castellet,9.0
7.0,BOT,77,Mercedes,2.0,2018,8,Le Castellet,2.0
8.0,SAI,55,Renault,7.0,2018,8,Le Castellet,7.0
9.0,HUL,27,Renault,12.0,2018,8,Le Castellet,12.0
10.0,LEC,16,Sauber,8.0,2018,8,Le Castellet,8.0
11.0,GRO,8,Haas F1 Team,10.0,2018,8,Le Castellet,10.0
12.0,VAN,2,McLaren,17.0,2018,8,Le Castellet,18.0
13.0,ERI,9,Sauber,15.0,2018,8,Le Castellet,15.0
14.0,HAR,28,Toro Rosso,20.0,2018,8,Le Castellet,17.0
15.0,SIR,35,Williams,18.0,2018,8,Le Castellet,19.0
16.0,ALO,14,McLaren,16.0,2018,8,Le Castellet,16.0
17.0,STR,18,Williams,19.0,2018,8,Le Castellet,20.0
18.0,PER,11,Force India,13.0,2018,8,Le Castellet,13.0
19.0,OCO,31,Force India,11.0,2018,8,Le Castellet,11.0
20.0,GAS,10,Toro Rosso,14.0,2018,8,Le Castellet,14.0
1.0,VER,33,Red Bull Racing,4.0,2018,9,Spielberg,5.0
2.0,RAI,7,Ferrari,3.0,2018,9,Spielberg,4.0
3.0,VET,5,Ferrari,6.0,2018,9,Spielberg,3.0
4.0,GRO,8,Haas F1 Team,5.0,2018,9,Spielberg,6.0
5.0,MAG,20,Haas F1 Team,8.0,2018,9,Spielberg,8.0
6.0,OCO,31,Force India,11.0,2018,9,Spielberg,11.0
7.0,PER,11,Force India,16.0,2018,9,Spielberg,17.0
8.0,ALO,14,McLaren,13.0,2018,9,Spielberg,14.0
9.0,LEC,16,Sauber,18.0,2018,9,Spielberg,13.0
10.0,ERI,9,Sauber,20.0,2018,9,Spielberg,20.0
11.0,GAS,10,Toro Rosso,12.0,2018,9,Spielberg,12.0
12.0,SAI,55,Renault,9.0,2018,9,Spielberg,9.0
13.0,SIR,35,Williams,17.0,2018,9,Spielberg,18.0
14.0,STR,18,Williams,14.0,2018,9,Spielberg,15.0
15.0,VAN,2,McLaren,15.0,2018,9,Spielberg,16.0
16.0,HAM,44,Mercedes,2.0,2018,9,Spielberg,2.0
17.0,HAR,28,Toro Rosso,19.0,2018,9,Spielberg,19.0
18.0,RIC,3,Red Bull Racing,7.0,2018,9,Spielberg,7.0
19.0,BOT,77,Mercedes,1.0,2018,9,Spielberg,1.0
20.0,HUL,27,Renault,10.0,2018,9,Spielberg,10.0
1.0,VET,5,Ferrari,2.0,2018,10,Silverstone,2.0
2.0,HAM,44,Mercedes,1.0,2018,10,Silverstone,1.0
3.0,RAI,7,Ferrari,3.0,2018,10,Silverstone,3.0
4.0,BOT,77,Mercedes,4.0,2018,10,Silverstone,4.0
5.0,RIC,3,Red Bull Racing,6.0,2018,10,Silverstone,6.0
6.0,HUL,27,Renault,11.0,2018,10,Silverstone,11.0
7.0,OCO,31,Force India,10.0,2018,10,Silverstone,10.0
8.0,ALO,14,McLaren,13.0,2018,10,Silverstone,13.0
9.0,MAG,20,Haas F1 Team,7.0,2018,10,Silverstone,7.0
10.0,PER,11,Force India,12.0,2018,10,Silverstone,12.0
11.0,VAN,2,McLaren,17.0,2018,10,Silverstone,17.0
12.0,STR,18,Williams,19.0,2018,10,Silverstone,19.0
13.0,GAS,10,Toro Rosso,14.0,2018,10,Silverstone,14.0
14.0,SIR,35,Williams,18.0,2018,10,Silverstone,18.0
15.0,VER,33,Red Bull Racing,5.0,2018,10,Silverstone,5.0
16.0,GRO,8,Haas F1 Team,8.0,2018,10,Silverstone,8.0
17.0,SAI,55,Renault,16.0,2018,10,Silverstone,16.0
18.0,ERI,9,Sauber,15.0,2018,10,Silverstone,15.0
19.0,LEC,16,Sauber,9.0,2018,10,Silverstone,9.0
20.0,HAR,28,Toro Rosso,21.0,2018,10,Silverstone,20.0
1.0,HAM,44,Mercedes,14.0,2018,11,Hockenheim,14.0
2.0,BOT,77,Mercedes,2.0,2018,11,Hockenheim,2.0
3.0,RAI,7,Ferrari,3.0,2018,11,Hockenheim,3.0
4.0,VER,33,Red Bull Racing,4.0,2018,11,Hockenheim,4.0
5.0,HUL,27,Renault,7.0,2018,11,Hockenheim,7.0
6.0,GRO,8,Haas F1 Team,6.0,2018,11,Hockenheim,6.0
7.0,PER,11,Force India,10.0,2018,11,Hockenheim,10.0
8.0,OCO,31,Force India,15.0,2018,11,Hockenheim,16.0
9.0,ERI,9,Sauber,13.0,2018,11,Hockenheim,13.0
10.0,HAR,28,Toro Rosso,17.0,2018,11,Hockenheim,18.0
11.0,MAG,20,Haas F1 Team,5.0,2018,11,Hockenheim,5.0
12.0,SAI,55,Renault,8.0,2018,11,Hockenheim,8.0
13.0,VAN,2,McLaren,19.0,2018,11,Hockenheim,20.0
14.0,GAS,10,Toro Rosso,16.0,2018,11,Hockenheim,17.0
15.0,LEC,16,Sauber,9.0,2018,11,Hockenheim,9.0
16.0,ALO,14,McLaren,11.0,2018,11,Hockenheim,11.0
17.0,STR,18,Williams,18.0,2018,11,Hockenheim,19.0
18.0,VET,5,Ferrari,1.0,2018,11,Hockenheim,1.0
19.0,SIR,35,Williams,12.0,2018,11,Hockenheim,12.0
20.0,RIC,3,Red Bull Racing,20.0,2018,11,Hockenheim,15.0
1.0,HAM,44,Mercedes,1.0,2018,12,Budapest,1.0
2.0,VET,5,Ferrari,4.0,2018,12,Budapest,4.0
3.0,RAI,7,Ferrari,3.0,2018,12,Budapest,3.0
4.0,RIC,3,Red Bull Racing,12.0,2018,12,Budapest,12.0
5.0,BOT,77,Mercedes,2.0,2018,12,Budapest,2.0
6.0,GAS,10,Toro Rosso,6.0,2018,12,Budapest,6.0
7.0,MAG,20,Haas F1 Team,9.0,2018,12,Budapest,9.0
8.0,ALO,14,McLaren,11.0,2018,12,Budapest,11.0
9.0,SAI,55,Renault,5.0,2018,12,Budapest,5.0
10.0,GRO,8,Haas F1 Team,10.0,2018,12,Budapest,10.0
11.0,HAR,28,Toro Rosso,8.0,2018,12,Budapest,8.0
12.0,HUL,27,Renault,13.0,2018,12,Budapest,13.0
13.0,OCO,31,Force India,18.0,2018,12,Budapest,18.0
14.0,PER,11,Force India,19.0,2018,12,Budapest,19.0
15.0,ERI,9,Sauber,14.0,2018,12,Budapest,14.0
16.0,SIR,35,Williams,20.0,2018,12,Budapest,20.0
17.0,STR,18,Williams,15.0,2018,12,Budapest,15.0
18.0,VAN,2,McLaren,16.0,2018,12,Budapest,16.0
19.0,VER,33,Red Bull Racing,7.0,2018,12,Budapest,7.0
20.0,LEC,16,Sauber,17.0,2018,12,Budapest,17.0
1.0,VET,5,Ferrari,2.0,2018,13,Spa-Francorchamps,2.0
2.0,HAM,44,Mercedes,1.0,2018,13,Spa-Francorchamps,1.0
3.0,VER,33,Red Bull Racing,7.0,2018,13,Spa-Francorchamps,7.0
4.0,BOT,77,Mercedes,19.0,2018,13,Spa-Francorchamps,10.0
5.0,PER,11,Racing Point,4.0,2018,13,Spa-Francorchamps,4.0
6.0,OCO,31,Racing Point,3.0,2018,13,Spa-Francorchamps,3.0
7.0,GRO,8,Haas F1 Team,5.0,2018,13,Spa-Francorchamps,5.0
8.0,MAG,20,Haas F1 Team,9.0,2018,13,Spa-Francorchamps,9.0
9.0,GAS,10,Toro Rosso,10.0,2018,13,Spa-Francorchamps,11.0
10.0,ERI,9,Sauber,13.0,2018,13,Spa-Francorchamps,14.0
11.0,SAI,55,Renault,14.0,2018,13,Spa-Francorchamps,16.0
12.0,SIR,35,Williams,16.0,2018,13,Spa-Francorchamps,18.0
13.0,STR,18,Williams,17.0,2018,13,Spa-Francorchamps,19.0
14.0,HAR,28,Toro Rosso,11.0,2018,13,Spa-Francorchamps,12.0
15.0,VAN,2,McLaren,18.0,2018,13,Spa-Francorchamps,20.0
16.0,RIC,3,Red Bull Racing,8.0,2018,13,Spa-Francorchamps,8.0
17.0,RAI,7,Ferrari,6.0,2018,13,Spa-Francorchamps,6.0
18.0,LEC,16,Sauber,12.0,2018,13,Spa-Francorchamps,13.0
19.0,ALO,14,McLaren,15.0,2018,13,Spa-Francorchamps,17.0
20.0,HUL,27,Renault,20.0,2018,13,Spa-Francorchamps,15.0
1.0,HAM,44,Mercedes,3.0,2018,14,Monza,3.0
2.0,RAI,7,Ferrari,1.0,2018,14,Monza,1.0
3.0,BOT,77,Mercedes,4.0,2018,14,Monza,4.0
4.0,VET,5,Ferrari,2.0,2018,14,Monza,2.0
5.0,VER,33,Red Bull Racing,5.0,2018,14,Monza,5.0
6.0,OCO,31,Racing Point,8.0,2018,14,Monza,8.0
7.0,PER,11,Racing Point,14.0,2018,14,Monza,16.0
8.0,SAI,55,Renault,7.0,2018,14,Monza,7.0
9.0,STR,18,Williams,10.0,2018,14,Monza,10.0
10.0,SIR,35,Williams,12.0,2018,14,Monza,12.0
11.0,LEC,16,Sauber,15.0,2018,14,Monza,17.0
12.0,VAN,2,McLaren,17.0,2018,14,Monza,20.0
13.0,HUL,27,Renault,20.0,2018,14,Monza,14.0
14.0,GAS,10,Toro Rosso,9.0,2018,14,Monza,9.0
15.0,ERI,9,Sauber,18.0,2018,14,Monza,19.0
16.0,MAG,20,Haas F1 Team,11.0,2018,14,Monza,11.0
17.0,RIC,3,Red Bull Racing,19.0,2018,14,Monza,15.0
18.0,ALO,14,McLaren,13.0,2018,14,Monza,13.0
19.0,HAR,28,Toro Rosso,16.0,2018,14,Monza,18.0
20.0,GRO,8,Haas F1 Team,6.0,2018,14,Monza,6.0
1.0,HAM,44,Mercedes,1.0,2018,15,Singapore,1.0
2.0,VER,33,Red Bull Racing,2.0,2018,15,Singapore,2.0
3.0,VET,5,Ferrari,3.0,2018,15,Singapore,3.0
4.0,BOT,77,Mercedes,4.0,2018,15,Singapore,4.0
5.0,RAI,7,Ferrari,5.0,2018,15,Singapore,5.0
6.0,RIC,3,Red Bull Racing,6.0,2018,15,Singapore,6.0
7.0,ALO,14,McLaren,11.0,2018,15,Singapore,11.0
8.0,SAI,55,Renault,12.0,2018,15,Singapore,12.0
9.0,LEC,16,Sauber,13.0,2018,15,Singapore,13.0
10.0,HUL,27,Renault,10.0,2018,15,Singapore,10.0
11.0,ERI,9,Sauber,14.0,2018,15,Singapore,14.0
12.0,VAN,2,McLaren,18.0,2018,15,Singapore,18.0
13.0,GAS,10,Toro Rosso,15.0,2018,15,Singapore,15.0
14.0,STR,18,Williams,20.0,2018,15,Singapore,20.0
15.0,GRO,8,Haas F1 Team,8.0,2018,15,Singapore,8.0
16.0,PER,11,Racing Point,7.0,2018,15,Singapore,7.0
17.0,HAR,28,Toro Rosso,17.0,2018,15,Singapore,17.0
18.0,MAG,20,Haas F1 Team,16.0,2018,15,Singapore,16.0
19.0,SIR,35,Williams,19.0,2018,15,Singapore,19.0
20.0,OCO,31,Racing Point,9.0,2018,15,Singapore,9.0
1.0,HAM,44,Mercedes,2.0,2018,16,Sochi,2.0
2.0,BOT,77,Mercedes,1.0,2018,16,Sochi,1.0
3.0,VET,5,Ferrari,3.0,2018,16,Sochi,3.0
4.0,RAI,7,Ferrari,4.0,2018,16,Sochi,4.0
5.0,VER,33,Red Bull Racing,19.0,2018,16,Sochi,11.0
6.0,RIC,3,Red Bull Racing,18.0,2018,16,Sochi,12.0
7.0,LEC,16,Sauber,7.0,2018,16,Sochi,7.0
8.0,MAG,20,Haas F1 Team,5.0,2018,16,Sochi,5.0
9.0,OCO,31,Racing Point,6.0,2018,16,Sochi,6.0
10.0,PER,11,Racing Point,8.0,2018,16,Sochi,8.0
11.0,GRO,8,Haas F1 Team,9.0,2018,16,Sochi,9.0
12.0,HUL,27,Renault,12.0,2018,16,Sochi,15.0
13.0,ERI,9,Sauber,10.0,2018,16,Sochi,10.0
14.0,ALO,14,McLaren,16.0,2018,16,Sochi,17.0
15.0,STR,18,Williams,14.0,2018,16,Sochi,20.0
16.0,VAN,2,McLaren,15.0,2018,16,Sochi,19.0
17.0,SAI,55,Renault,11.0,2018,16,Sochi,14.0
18.0,SIR,35,Williams,13.0,2018,16,Sochi,18.0
19.0,GAS,10,Toro Rosso,17.0,2018,16,Sochi,13.0
20.0,HAR,28,Toro Rosso,20.0,2018,16,Sochi,16.0
1.0,HAM,44,Mercedes,1.0,2018,17,Suzuka,1.0
2.0,BOT,77,Mercedes,2.0,2018,17,Suzuka,2.0
3.0,VER,33,Red Bull Racing,3.0,2018,17,Suzuka,3.0
4.0,RIC,3,Red Bull Racing,15.0,2018,17,Suzuka,15.0
5.0,RAI,7,Ferrari,4.0,2018,17,Suzuka,4.0
6.0,VET,5,Ferrari,8.0,2018,17,Suzuka,9.0
7.0,PER,11,Racing Point,9.0,2018,17,Suzuka,10.0
8.0,GRO,8,Haas F1 Team,5.0,2018,17,Suzuka,5.0
9.0,OCO,31,Racing Point,11.0,2018,17,Suzuka,8.0
10.0,SAI,55,Renault,13.0,2018,17,Suzuka,13.0
11.0,GAS,10,Toro Rosso,7.0,2018,17,Suzuka,7.0
12.0,ERI,9,Sauber,20.0,2018,17,Suzuka,20.0
13.0,HAR,28,Toro Rosso,6.0,2018,17,Suzuka,6.0
14.0,ALO,14,McLaren,18.0,2018,17,Suzuka,18.0
15.0,VAN,2,McLaren,19.0,2018,17,Suzuka,19.0
16.0,SIR,35,Williams,17.0,2018,17,Suzuka,17.0
17.0,STR,18,Williams,14.0,2018,17,Suzuka,14.0
18.0,LEC,16,Sauber,10.0,2018,17,Suzuka,11.0
19.0,HUL,27,Renault,16.0,2018,17,Suzuka,16.0
20.0,MAG,20,Haas F1 Team,12.0,2018,17,Suzuka,12.0
1.0,RAI,7,Ferrari,2.0,2018,18,Austin,3.0
2.0,VER,33,Red Bull Racing,18.0,2018,18,Austin,15.0
3.0,HAM,44,Mercedes,1.0,2018,18,Austin,1.0
4.0,VET,5,Ferrari,5.0,2018,18,Austin,2.0
5.0,BOT,77,Mercedes,3.0,2018,18,Austin,4.0
6.0,HUL,27,Renault,7.0,2018,18,Austin,7.0
7.0,SAI,55,Renault,11.0,2018,18,Austin,11.0
8.0,PER,11,Racing Point,10.0,2018,18,Austin,10.0
9.0,HAR,28,Toro Rosso,20.0,2018,18,Austin,14.0
10.0,ERI,9,Sauber,16.0,2018,18,Austin,19.0
11.0,VAN,2,McLaren,17.0,2018,18,Austin,20.0
12.0,GAS,10,Toro Rosso,19.0,2018,18,Austin,13.0
13.0,SIR,35,Williams,14.0,2018,18,Austin,17.0
14.0,STR,18,Williams,15.0,2018,18,Austin,18.0
15.0,LEC,16,Sauber,9.0,2018,18,Austin,9.0
16.0,RIC,3,Red Bull Racing,4.0,2018,18,Austin,5.0
17.0,GRO,8,Haas F1 Team,8.0,2018,18,Austin,8.0
18.0,ALO,14,McLaren,13.0,2018,18,Austin,16.0
19.0,OCO,31,Racing Point,6.0,2018,18,Austin,6.0
20.0,MAG,20,Haas F1 Team,12.0,2018,18,Austin,12.0
1.0,VER,33,Red Bull Racing,2.0,2018,19,Mexico City,2.0
2.0,VET,5,Ferrari,4.0,2018,19,Mexico City,4.0
3.0,RAI,7,Ferrari,6.0,2018,19,Mexico City,6.0
4.0,HAM,44,Mercedes,3.0,2018,19,Mexico City,3.0
5.0,BOT,77,Mercedes,5.0,2018,19,Mexico City,5.0
6.0,HUL,27,Renault,7.0,2018,19,Mexico City,7.0
7.0,LEC,16,Sauber,9.0,2018,19,Mexico City,9.0
8.0,VAN,2,McLaren,15.0,2018,19,Mexico City,17.0
9.0,ERI,9,Sauber,10.0,2018,19,Mexico City,10.0
10.0,GAS,10,Toro Rosso,20.0,2018,19,Mexico City,15.0
11.0,OCO,31,Racing Point,11.0,2018,19,Mexico City,11.0
12.0,STR,18,Williams,17.0,2018,19,Mexico City,19.0
13.0,SIR,35,Williams,19.0,2018,19,Mexico City,20.0
14.0,HAR,28,Toro Rosso,14.0,2018,19,Mexico City,14.0
15.0,MAG,20,Haas F1 Team,16.0,2018,19,Mexico City,18.0
16.0,GRO,8,Haas F1 Team,18.0,2018,19,Mexico City,16.0
17.0,RIC,3,Red Bull Racing,1.0,2018,19,Mexico City,1.0
18.0,PER,11,Racing Point,13.0,2018,19,Mexico City,13.0
19.0,SAI,55,Renault,8.0,2018,19,Mexico City,8.0
20.0,ALO,14,McLaren,12.0,2018,19,Mexico City,12.0
1.0,HAM,44,Mercedes,1.0,2018,20,São Paulo,1.0
2.0,VER,33,Red Bull Racing,5.0,2018,20,São Paulo,5.0
3.0,RAI,7,Ferrari,4.0,2018,20,São Paulo,4.0
4.0,RIC,3,Red Bull Racing,11.0,2018,20,São Paulo,6.0
5.0,BOT,77,Mercedes,3.0,2018,20,São Paulo,3.0
6.0,VET,5,Ferrari,2.0,2018,20,São Paulo,2.0
7.0,LEC,16,Sauber,7.0,2018,20,São Paulo,8.0
8.0,GRO,8,Haas F1 Team,8.0,2018,20,São Paulo,9.0
9.0,MAG,20,Haas F1 Team,10.0,2018,20,São Paulo,11.0
10.0,PER,11,Racing Point,12.0,2018,20,São Paulo,12.0
11.0,HAR,28,Toro Rosso,16.0,2018,20,São Paulo,17.0
12.0,SAI,55,Renault,15.0,2018,20,São Paulo,16.0
13.0,GAS,10,Toro Rosso,9.0,2018,20,São Paulo,10.0
14.0,VAN,2,McLaren,20.0,2018,20,São Paulo,20.0
15.0,OCO,31,Racing Point,18.0,2018,20,São Paulo,13.0
16.0,SIR,35,Williams,14.0,2018,20,São Paulo,15.0
17.0,ALO,14,McLaren,17.0,2018,20,São Paulo,18.0
18.0,STR,18,Williams,19.0,2018,20,São Paulo,19.0
