Position_race,Abbreviation,DriverNumber_race,TeamName_race,GridPosition,Year,Round,Circuit_race,Position_quali,DriverNumber_quali,TeamName_quali,Circuit_quali
2.0,RAI,7,Ferrari,6.0,2018,4,Baku,6.0,7,Ferrari,Baku
3.0,PER,11,Force India,8.0,2018,4,Baku,8.0,11,Force India,Baku
4.0,VET,5,Ferrari,1.0,2018,4,Baku,1.0,5,Ferrari,Baku
5.0,SAI,55,Renault,9.0,2018,4,Baku,10.0,55,Renault,Baku
6.0,LEC,16,Sauber,13.0,2018,4,Baku,14.0,16,Sauber,Baku
7.0,ALO,14,McLaren,12.0,2018,4,Baku,13.0,14,McLaren,Baku
8.0,STR,18,Williams,10.0,2018,4,Baku,11.0,18,Williams,Baku
9.0,VAN,2,McLaren,16.0,2018,4,Baku,16.0,2,McLaren,Baku
10.0,HAR,28,Toro Rosso,19.0,2018,4,Baku,19.0,28,Toro Rosso,Baku
11.0,ERI,9,Sauber,18.0,2018,4,Baku,18.0,9,Sauber,Baku
12.0,GAS,10,Toro Rosso,17.0,2018,4,Baku,17.0,10,Toro Rosso,Baku
13.0,MAG,20,Haas F1 Team,15.0,2018,4,Baku,15.0,20,Haas F1 Team,Baku
14.0,BOT,77,Mercedes,3.0,2018,4,Baku,3.0,77,Mercedes,Baku
15.0,GRO,8,Haas F1 Team,20.0,2018,4,Baku,20.0,8,Haas F1 Team,Baku
16.0,VER,33,Red Bull Racing,5.0,2018,4,Baku,5.0,33,Red Bull Racing,Baku
17.0,RIC,3,Red Bull Racing,4.0,2018,4,Baku,4.0,3,Red Bull Racing,Baku
18.0,HUL,27,Renault,14.0,2018,4,Baku,9.0,27,Renault,Baku
19.0,OCO,31,Force India,7.0,2018,4,Baku,7.0,31,Force India,Baku
20.0,SIR,35,Williams,11.0,2018,4,Baku,12.0,35,Williams,Baku
1.0,HAM,44,Mercedes,1.0,2018,5,Barcelona,1.0,44,Mercedes,Barcelona
2.0,BOT,77,Mercedes,2.0,2018,5,Barcelona,2.0,77,Mercedes,Barcelona
3.0,VER,33,Red Bull Racing,5.0,2018,5,Barcelona,5.0,33,Red Bull Racing,Barcelona
4.0,VET,5,Ferrari,3.0,2018,5,Barcelona,3.0,5,Ferrari,Barcelona
5.0,RIC,3,Red Bull Racing,6.0,2018,5,Barcelona,6.0,3,Red Bull Racing,Barcelona
6.0,MAG,20,Haas F1 Team,7.0,2018,5,Barcelona,7.0,20,Haas F1 Team,Barcelona
7.0,SAI,55,Renault,9.0,2018,5,Barcelona,9.0,55,Renault,Barcelona
8.0,ALO,14,McLaren,8.0,2018,5,Barcelona,8.0,14,McLaren,Barcelona
9.0,PER,11,Force India,15.0,2018,5,Barcelona,15.0,11,Force India,Barcelona
10.0,LEC,16,Sauber,14.0,2018,5,Barcelona,14.0,16,Sauber,Barcelona
11.0,STR,18,Williams,18.0,2018,5,Barcelona,19.0,18,Williams,Barcelona
12.0,HAR,28,Toro Rosso,20.0,2018,5,Barcelona,20.0,28,Toro Rosso,Barcelona
13.0,ERI,9,Sauber,17.0,2018,5,Barcelona,17.0,9,Sauber,Barcelona
14.0,SIR,35,Williams,19.0,2018,5,Barcelona,18.0,35,Williams,Barcelona
15.0,VAN,2,McLaren,11.0,2018,5,Barcelona,11.0,2,McLaren,Barcelona
16.0,OCO,31,Force India,13.0,2018,5,Barcelona,13.0,31,Force India,Barcelona
17.0,RAI,7,Ferrari,4.0,2018,5,Barcelona,4.0,7,Ferrari,Barcelona
18.0,GRO,8,Haas F1 Team,10.0,2018,5,Barcelona,10.0,8,Haas F1 Team,Barcelona
19.0,GAS,10,Toro Rosso,12.0,2018,5,Barcelona,12.0,10,Toro Rosso,Barcelona
20.0,HUL,27,Renault,16.0,2018,5,Barcelona,16.0,27,Renault,Barcelona
1.0,RIC,3,Red Bull Racing,1.0,2018,6,Monte Carlo,1.0,3,Red Bull Racing,Monte Carlo
2.0,VET,5,Ferrari,2.0,2018,6,Monte Carlo,2.0,5,Ferrari,Monte Carlo
3.0,HAM,44,Mercedes,3.0,2018,6,Monte Carlo,3.0,44,Mercedes,Monte Carlo
4.0,RAI,7,Ferrari,4.0,2018,6,Monte Carlo,4.0,7,Ferrari,Monte Carlo
5.0,BOT,77,Mercedes,5.0,2018,6,Monte Carlo,5.0,77,Mercedes,Monte Carlo
6.0,OCO,31,Force India,6.0,2018,6,Monte Carlo,6.0,31,Force India,Monte Carlo
7.0,GAS,10,Toro Rosso,10.0,2018,6,Monte Carlo,10.0,10,Toro Rosso,Monte Carlo
8.0,HUL,27,Renault,11.0,2018,6,Monte Carlo,11.0,27,Renault,Monte Carlo
9.0,VER,33,Red Bull Racing,20.0,2018,6,Monte Carlo,20.0,33,Red Bull Racing,Monte Carlo
10.0,SAI,55,Renault,8.0,2018,6,Monte Carlo,8.0,55,Renault,Monte Carlo
11.0,ERI,9,Sauber,16.0,2018,6,Monte Carlo,17.0,9,Sauber,Monte Carlo
12.0,PER,11,Force India,9.0,2018,6,Monte Carlo,9.0,11,Force India,Monte Carlo
13.0,MAG,20,Haas F1 Team,19.0,2018,6,Monte Carlo,19.0,20,Haas F1 Team,Monte Carlo
14.0,VAN,2,McLaren,12.0,2018,6,Monte Carlo,12.0,2,McLaren,Monte Carlo
15.0,GRO,8,Haas F1 Team,18.0,2018,6,Monte Carlo,15.0,8,Haas F1 Team,Monte Carlo
16.0,SIR,35,Williams,13.0,2018,6,Monte Carlo,13.0,35,Williams,Monte Carlo
17.0,STR,18,Williams,17.0,2018,6,Monte Carlo,18.0,18,Williams,Monte Carlo
18.0,LEC,16,Sauber,14.0,2018,6,Monte Carlo,14.0,16,Sauber,Monte Carlo
19.0,HAR,28,Toro Rosso,15.0,2018,6,Monte Carlo,16.0,28,Toro Rosso,Monte Carlo
20.0,ALO,14,McLaren,7.0,2018,6,Monte Carlo,7.0,14,McLaren,Monte Carlo
1.0,VET,5,Ferrari,1.0,2018,7,Montréal,1.0,5,Ferrari,Montréal
2.0,BOT,77,Mercedes,2.0,2018,7,Montréal,2.0,77,Mercedes,Montréal
3.0,VER,33,Red Bull Racing,3.0,2018,7,Montréal,3.0,33,Red Bull Racing,Montréal
4.0,RIC,3,Red Bull Racing,6.0,2018,7,Montréal,6.0,3,Red Bull Racing,Montréal
5.0,HAM,44,Mercedes,4.0,2018,7,Montréal,4.0,44,Mercedes,Montréal
6.0,RAI,7,Ferrari,5.0,2018,7,Montréal,5.0,7,Ferrari,Montréal
7.0,HUL,27,Renault,7.0,2018,7,Montréal,7.0,27,Renault,Montréal
8.0,SAI,55,Renault,9.0,2018,7,Montréal,9.0,55,Renault,Montréal
9.0,OCO,31,Force India,8.0,2018,7,Montréal,8.0,31,Force India,Montréal
10.0,LEC,16,Sauber,13.0,2018,7,Montréal,13.0,16,Sauber,Montréal
11.0,GAS,10,Toro Rosso,16.0,2018,7,Montréal,16.0,10,Toro Rosso,Montréal
12.0,GRO,8,Haas F1 Team,20.0,2018,7,Montréal,20.0,8,Haas F1 Team,Montréal
13.0,MAG,20,Haas F1 Team,11.0,2018,7,Montréal,11.0,20,Haas F1 Team,Montréal
14.0,PER,11,Force India,10.0,2018,7,Montréal,10.0,11,Force India,Montréal
15.0,ERI,9,Sauber,19.0,2018,7,Montréal,19.0,9,Sauber,Montréal
16.0,VAN,2,McLaren,15.0,2018,7,Montréal,15.0,2,McLaren,Montréal
17.0,SIR,35,Williams,18.0,2018,7,Montréal,18.0,35,Williams,Montréal
18.0,ALO,14,McLaren,14.0,2018,7,Montréal,14.0,14,McLaren,Montréal
19.0,HAR,28,Toro Rosso,12.0,2018,7,Montréal,12.0,28,Toro Rosso,Montréal
20.0,STR,18,Williams,17.0,2018,7,Montréal,17.0,18,Williams,Montréal
1.0,HAM,44,Mercedes,1.0,2018,8,Le Castellet,1.0,44,Mercedes,Le Castellet
2.0,VER,33,Red Bull Racing,4.0,2018,8,Le Castellet,4.0,33,Red Bull Racing,Le Castellet
3.0,RAI,7,Ferrari,6.0,2018,8,Le Castellet,6.0,7,Ferrari,Le Castellet
4.0,RIC,3,Red Bull Racing,5.0,2018,8,Le Castellet,5.0,3,Red Bull Racing,Le Castellet
5.0,VET,5,Ferrari,3.0,2018,8,Le Castellet,3.0,5,Ferrari,Le Castellet
6.0,MAG,20,Haas F1 Team,9.0,2018,8,Le Castellet,9.0,20,Haas F1 Team,Le Castellet
7.0,BOT,77,Mercedes,2.0,2018,8,Le Castellet,2.0,77,Mercedes,Le Castellet
8.0,SAI,55,Renault,7.0,2018,8,Le Castellet,7.0,55,Renault,Le Castellet
9.0,HUL,27,Renault,12.0,2018,8,Le Castellet,12.0,27,Renault,Le Castellet
10.0,LEC,16,Sauber,8.0,2018,8,Le Castellet,8.0,16,Sauber,Le Castellet
11.0,GRO,8,Haas F1 Team,10.0,2018,8,Le Castellet,10.0,8,Haas F1 Team,Le Castellet
12.0,VAN,2,McLaren,17.0,2018,8,Le Castellet,18.0,2,McLaren,Le Castellet
13.0,ERI,9,Sauber,15.0,2018,8,Le Castellet,15.0,9,Sauber,Le Castellet
14.0,HAR,28,Toro Rosso,20.0,2018,8,Le Castellet,17.0,28,Toro Rosso,Le Castellet
15.0,SIR,35,Williams,18.0,2018,8,Le Castellet,19.0,35,Williams,Le Castellet
16.0,ALO,14,McLaren,16.0,2018,8,Le Castellet,16.0,14,McLaren,Le Castellet
17.0,STR,18,Williams,19.0,2018,8,Le Castellet,20.0,18,Williams,Le Castellet
18.0,PER,11,Force India,13.0,2018,8,Le Castellet,13.0,11,Force India,Le Castellet
19.0,OCO,31,Force India,11.0,2018,8,Le Castellet,11.0,31,Force India,Le Castellet
20.0,GAS,10,Toro Rosso,14.0,2018,8,Le Castellet,14.0,10,Toro Rosso,Le Castellet
1.0,VER,33,Red Bull Racing,4.0,2018,9,Spielberg,5.0,33,Red Bull Racing,Spielberg
2.0,RAI,7,Ferrari,3.0,2018,9,Spielberg,4.0,7,Ferrari,Spielberg
3.0,VET,5,Ferrari,6.0,2018,9,Spielberg,3.0,5,Ferrari,Spielberg
4.0,GRO,8,Haas F1 Team,5.0,2018,9,Spielberg,6.0,8,Haas F1 Team,Spielberg
5.0,MAG,20,Haas F1 Team,8.0,2018,9,Spielberg,8.0,20,Haas F1 Team,Spielberg
6.0,OCO,31,Force India,11.0,2018,9,Spielberg,11.0,31,Force India,Spielberg
7.0,PER,11,Force India,16.0,2018,9,Spielberg,17.0,11,Force India,Spielberg
8.0,ALO,14,McLaren,13.0,2018,9,Spielberg,14.0,14,McLaren,Spielberg
9.0,LEC,16,Sauber,18.0,2018,9,Spielberg,13.0,16,Sauber,Spielberg
10.0,ERI,9,Sauber,20.0,2018,9,Spielberg,20.0,9,Sauber,Spielberg
11.0,GAS,10,Toro Rosso,12.0,2018,9,Spielberg,12.0,10,Toro Rosso,Spielberg
12.0,SAI,55,Renault,9.0,2018,9,Spielberg,9.0,55,Renault,Spielberg
13.0,SIR,35,Williams,17.0,2018,9,Spielberg,18.0,35,Williams,Spielberg
14.0,STR,18,Williams,14.0,2018,9,Spielberg,15.0,18,Williams,Spielberg
15.0,VAN,2,McLaren,15.0,2018,9,Spielberg,16.0,2,McLaren,Spielberg
16.0,HAM,44,Mercedes,2.0,2018,9,Spielberg,2.0,44,Mercedes,Spielberg
17.0,HAR,28,Toro Rosso,19.0,2018,9,Spielberg,19.0,28,Toro Rosso,Spielberg
18.0,RIC,3,Red Bull Racing,7.0,2018,9,Spielberg,7.0,3,Red Bull Racing,Spielberg
19.0,BOT,77,Mercedes,1.0,2018,9,Spielberg,1.0,77,Mercedes,Spielberg
20.0,HUL,27,Renault,10.0,2018,9,Spielberg,10.0,27,Renault,Spielberg
1.0,VET,5,Ferrari,2.0,2018,10,Silverstone,2.0,5,Ferrari,Silverstone
2.0,HAM,44,Mercedes,1.0,2018,10,Silverstone,1.0,44,Mercedes,Silverstone
3.0,RAI,7,Ferrari,3.0,2018,10,Silverstone,3.0,7,Ferrari,Silverstone
4.0,BOT,77,Mercedes,4.0,2018,10,Silverstone,4.0,77,Mercedes,Silverstone
5.0,RIC,3,Red Bull Racing,6.0,2018,10,Silverstone,6.0,3,Red Bull Racing,Silverstone
6.0,HUL,27,Renault,11.0,2018,10,Silverstone,11.0,27,Renault,Silverstone
7.0,OCO,31,Force India,10.0,2018,10,Silverstone,10.0,31,Force India,Silverstone
8.0,ALO,14,McLaren,13.0,2018,10,Silverstone,13.0,14,McLaren,Silverstone
9.0,MAG,20,Haas F1 Team,7.0,2018,10,Silverstone,7.0,20,Haas F1 Team,Silverstone
10.0,PER,11,Force India,12.0,2018,10,Silverstone,12.0,11,Force India,Silverstone
11.0,VAN,2,McLaren,17.0,2018,10,Silverstone,17.0,2,McLaren,Silverstone
12.0,STR,18,Williams,19.0,2018,10,Silverstone,19.0,18,Williams,Silverstone
13.0,GAS,10,Toro Rosso,14.0,2018,10,Silverstone,14.0,10,Toro Rosso,Silverstone
14.0,SIR,35,Williams,18.0,2018,10,Silverstone,18.0,35,Williams,Silverstone
15.0,VER,33,Red Bull Racing,5.0,2018,10,Silverstone,5.0,33,Red Bull Racing,Silverstone
16.0,GRO,8,Haas F1 Team,8.0,2018,10,Silverstone,8.0,8,Haas F1 Team,Silverstone
17.0,SAI,55,Renault,16.0,2018,10,Silverstone,16.0,55,Renault,Silverstone
18.0,ERI,9,Sauber,15.0,2018,10,Silverstone,15.0,9,Sauber,Silverstone
19.0,LEC,16,Sauber,9.0,2018,10,Silverstone,9.0,16,Sauber,Silverstone
20.0,HAR,28,Toro Rosso,0.0,2018,10,Silverstone,20.0,28,Toro Rosso,Silverstone
1.0,HAM,44,Mercedes,14.0,2018,11,Hockenheim,14.0,44,Mercedes,Hockenheim
2.0,BOT,77,Mercedes,2.0,2018,11,Hockenheim,2.0,77,Mercedes,Hockenheim
3.0,RAI,7,Ferrari,3.0,2018,11,Hockenheim,3.0,7,Ferrari,Hockenheim
4.0,VER,33,Red Bull Racing,4.0,2018,11,Hockenheim,4.0,33,Red Bull Racing,Hockenheim
5.0,HUL,27,Renault,7.0,2018,11,Hockenheim,7.0,27,Renault,Hockenheim
6.0,GRO,8,Haas F1 Team,6.0,2018,11,Hockenheim,6.0,8,Haas F1 Team,Hockenheim
7.0,PER,11,Force India,10.0,2018,11,Hockenheim,10.0,11,Force India,Hockenheim
8.0,OCO,31,Force India,15.0,2018,11,Hockenheim,16.0,31,Force India,Hockenheim
9.0,ERI,9,Sauber,13.0,2018,11,Hockenheim,13.0,9,Sauber,Hockenheim
10.0,HAR,28,Toro Rosso,17.0,2018,11,Hockenheim,18.0,28,Toro Rosso,Hockenheim
11.0,MAG,20,Haas F1 Team,5.0,2018,11,Hockenheim,5.0,20,Haas F1 Team,Hockenheim
12.0,SAI,55,Renault,8.0,2018,11,Hockenheim,8.0,55,Renault,Hockenheim
13.0,VAN,2,McLaren,19.0,2018,11,Hockenheim,20.0,2,McLaren,Hockenheim
14.0,GAS,10,Toro Rosso,16.0,2018,11,Hockenheim,17.0,10,Toro Rosso,Hockenheim
15.0,LEC,16,Sauber,9.0,2018,11,Hockenheim,9.0,16,Sauber,Hockenheim
16.0,ALO,14,McLaren,11.0,2018,11,Hockenheim,11.0,14,McLaren,Hockenheim
17.0,STR,18,Williams,18.0,2018,11,Hockenheim,19.0,18,Williams,Hockenheim
18.0,VET,5,Ferrari,1.0,2018,11,Hockenheim,1.0,5,Ferrari,Hockenheim
19.0,SIR,35,Williams,12.0,2018,11,Hockenheim,12.0,35,Williams,Hockenheim
20.0,RIC,3,Red Bull Racing,20.0,2018,11,Hockenheim,15.0,3,Red Bull Racing,Hockenheim
1.0,HAM,44,Mercedes,1.0,2018,12,Budapest,1.0,44,Mercedes,Budapest
2.0,VET,5,Ferrari,4.0,2018,12,Budapest,4.0,5,Ferrari,Budapest
3.0,RAI,7,Ferrari,3.0,2018,12,Budapest,3.0,7,Ferrari,Budapest
4.0,RIC,3,Red Bull Racing,12.0,2018,12,Budapest,12.0,3,Red Bull Racing,Budapest
5.0,BOT,77,Mercedes,2.0,2018,12,Budapest,2.0,77,Mercedes,Budapest
6.0,GAS,10,Toro Rosso,6.0,2018,12,Budapest,6.0,10,Toro Rosso,Budapest
7.0,MAG,20,Haas F1 Team,9.0,2018,12,Budapest,9.0,20,Haas F1 Team,Budapest
8.0,ALO,14,McLaren,11.0,2018,12,Budapest,11.0,14,McLaren,Budapest
9.0,SAI,55,Renault,5.0,2018,12,Budapest,5.0,55,Renault,Budapest
10.0,GRO,8,Haas F1 Team,10.0,2018,12,Budapest,10.0,8,Haas F1 Team,Budapest
11.0,HAR,28,Toro Rosso,8.0,2018,12,Budapest,8.0,28,Toro Rosso,Budapest
12.0,HUL,27,Renault,13.0,2018,12,Budapest,13.0,27,Renault,Budapest
13.0,OCO,31,Force India,18.0,2018,12,Budapest,18.0,31,Force India,Budapest
14.0,PER,11,Force India,19.0,2018,12,Budapest,19.0,11,Force India,Budapest
15.0,ERI,9,Sauber,14.0,2018,12,Budapest,14.0,9,Sauber,Budapest
16.0,SIR,35,Williams,20.0,2018,12,Budapest,20.0,35,Williams,Budapest
17.0,STR,18,Williams,15.0,2018,12,Budapest,15.0,18,Williams,Budapest
18.0,VAN,2,McLaren,16.0,2018,12,Budapest,16.0,2,McLaren,Budapest
19.0,VER,33,Red Bull Racing,7.0,2018,12,Budapest,7.0,33,Red Bull Racing,Budapest
20.0,LEC,16,Sauber,17.0,2018,12,Budapest,17.0,16,Sauber,Budapest
1.0,VET,5,Ferrari,2.0,2018,13,Spa-Francorchamps,2.0,5,Ferrari,Spa-Francorchamps
2.0,HAM,44,Mercedes,1.0,2018,13,Spa-Francorchamps,1.0,44,Mercedes,Spa-Francorchamps
3.0,VER,33,Red Bull Racing,7.0,2018,13,Spa-Francorchamps,7.0,33,Red Bull Racing,Spa-Francorchamps
4.0,BOT,77,Mercedes,19.0,2018,13,Spa-Francorchamps,10.0,77,Mercedes,Spa-Francorchamps
5.0,PER,11,Racing Point,4.0,2018,13,Spa-Francorchamps,4.0,11,Racing Point,Spa-Francorchamps
6.0,OCO,31,Racing Point,3.0,2018,13,Spa-Francorchamps,3.0,31,Racing Point,Spa-Francorchamps
7.0,GRO,8,Haas F1 Team,5.0,2018,13,Spa-Francorchamps,5.0,8,Haas F1 Team,Spa-Francorchamps
8.0,MAG,20,Haas F1 Team,9.0,2018,13,Spa-Francorchamps,9.0,20,Haas F1 Team,Spa-Francorchamps
9.0,GAS,10,Toro Rosso,10.0,2018,13,Spa-Francorchamps,11.0,10,Toro Rosso,Spa-Francorchamps
10.0,ERI,9,Sauber,13.0,2018,13,Spa-Francorchamps,14.0,9,Sauber,Spa-Francorchamps
11.0,SAI,55,Renault,14.0,2018,13,Spa-Francorchamps,16.0,55,Renault,Spa-Francorchamps
12.0,SIR,35,Williams,16.0,2018,13,Spa-Francorchamps,18.0,35,Williams,Spa-Francorchamps
13.0,STR,18,Williams,17.0,2018,13,Spa-Francorchamps,19.0,18,Williams,Spa-Francorchamps
14.0,HAR,28,Toro Rosso,11.0,2018,13,Spa-Francorchamps,12.0,28,Toro Rosso,Spa-Francorchamps
15.0,VAN,2,McLaren,18.0,2018,13,Spa-Francorchamps,20.0,2,McLaren,Spa-Francorchamps
16.0,RIC,3,Red Bull Racing,8.0,2018,13,Spa-Francorchamps,8.0,3,Red Bull Racing,Spa-Francorchamps
17.0,RAI,7,Ferrari,6.0,2018,13,Spa-Francorchamps,6.0,7,Ferrari,Spa-Francorchamps
18.0,LEC,16,Sauber,12.0,2018,13,Spa-Francorchamps,13.0,16,Sauber,Spa-Francorchamps
19.0,ALO,14,McLaren,15.0,2018,13,Spa-Francorchamps,17.0,14,McLaren,Spa-Francorchamps
20.0,HUL,27,Renault,20.0,2018,13,Spa-Francorchamps,15.0,27,Renault,Spa-Francorchamps
1.0,HAM,44,Mercedes,3.0,2018,14,Monza,3.0,44,Mercedes,Monza
2.0,RAI,7,Ferrari,1.0,2018,14,Monza,1.0,7,Ferrari,Monza
3.0,BOT,77,Mercedes,4.0,2018,14,Monza,4.0,77,Mercedes,Monza
4.0,VET,5,Ferrari,2.0,2018,14,Monza,2.0,5,Ferrari,Monza
5.0,VER,33,Red Bull Racing,5.0,2018,14,Monza,5.0,33,Red Bull Racing,Monza
6.0,OCO,31,Racing Point,8.0,2018,14,Monza,8.0,31,Racing Point,Monza
7.0,PER,11,Racing Point,14.0,2018,14,Monza,16.0,11,Racing Point,Monza
8.0,SAI,55,Renault,7.0,2018,14,Monza,7.0,55,Renault,Monza
9.0,STR,18,Williams,10.0,2018,14,Monza,10.0,18,Williams,Monza
10.0,SIR,35,Williams,12.0,2018,14,Monza,12.0,35,Williams,Monza
11.0,LEC,16,Sauber,15.0,2018,14,Monza,17.0,16,Sauber,Monza
12.0,VAN,2,McLaren,17.0,2018,14,Monza,20.0,2,McLaren,Monza
13.0,HUL,27,Renault,20.0,2018,14,Monza,14.0,27,Renault,Monza
14.0,GAS,10,Toro Rosso,9.0,2018,14,Monza,9.0,10,Toro Rosso,Monza
15.0,ERI,9,Sauber,18.0,2018,14,Monza,19.0,9,Sauber,Monza
16.0,MAG,20,Haas F1 Team,11.0,2018,14,Monza,11.0,20,Haas F1 Team,Monza
17.0,RIC,3,Red Bull Racing,19.0,2018,14,Monza,15.0,3,Red Bull Racing,Monza
18.0,ALO,14,McLaren,13.0,2018,14,Monza,13.0,14,McLaren,Monza
19.0,HAR,28,Toro Rosso,16.0,2018,14,Monza,18.0,28,Toro Rosso,Monza
20.0,GRO,8,Haas F1 Team,6.0,2018,14,Monza,6.0,8,Haas F1 Team,Monza
